task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
amar1273,swed1254,0.3333333333333333,0.2338546281528737,swe,1.0,0.4154
amar1273,hind1269,0.2685185185185185,0.2223189098189098,hin,1.0,0.2493
anga1290,hind1269,0.2072072072072072,0.1334057502478555,hin,1.0,0.3124
anem1248,hind1269,0.2761904761904762,0.2209703095779045,hin,1.0,0.3233
sain1246,hind1269,0.2522522522522522,0.2355634322847437,hin,0.930400013923645,0.4545
amel1241,hind1269,0.2429906542056074,0.1819163518033173,hin,1.0,0.3073
anka1246,hind1269,0.2522522522522522,0.1506253979372258,hin,1.0,0.3106
inab1237,hind1269,0.3423423423423423,0.3271807326452134,hin,1.0,0.203
east2379,hind1269,0.1909090909090909,0.1445856617145972,hin,1.0,0.3105
agut1237,hind1269,0.3513513513513513,0.3100666223953894,hin,1.0,0.1896
achi1256,hind1269,0.2342342342342342,0.2285972875554245,hin,1.0,0.4853
cent2084,hind1269,0.2962962962962963,0.2666569578801764,hin,1.0,0.1865
agua1252,hind1269,0.1909090909090909,0.1837972198798314,hin,1.0,0.4853
ango1254,hind1269,0.2252252252252252,0.1739638255767288,hin,1.0,0.2902
abau1245,hind1269,0.2612612612612612,0.1739039951805909,hin,1.0,0.291
achu1248,hind1269,0.2545454545454545,0.1675883657232294,hin,1.0,0.4988
agar1252,hind1269,0.2162162162162162,0.1614632053656444,hin,1.0,0.3095
arif1239,hind1269,0.2522522522522522,0.1847249634134879,hin,1.0,0.3246
agua1253,hind1269,0.2432432432432432,0.1812320081807187,hin,1.0,0.5017
ambu1247,hind1269,0.3090909090909091,0.2242326944493289,hin,1.0,0.2963
cent2084,port1283,0.1851851851851851,0.1036899333195629,por,1.0,0.4014
agua1252,port1283,0.209090909090909,0.1362790874814335,por,1.0,0.3235
anem1248,port1283,0.3142857142857143,0.2905527322918627,por,1.0,0.4881
amar1273,port1283,0.1851851851851851,0.1099981934467956,por,1.0,0.459
ambu1247,port1283,0.1636363636363636,0.0825311942959001,por,1.0,0.4737
amel1241,port1283,0.1775700934579439,0.0933659787955611,por,1.0,0.4789
arif1239,port1283,0.3063063063063063,0.2591980215509627,por,1.0,0.4879
inab1237,port1283,0.2972972972972973,0.2620005764716991,por,1.0,0.4173
achi1256,port1283,0.2432432432432432,0.1661394001819534,por,1.0,0.3216
anga1290,port1283,0.1441441441441441,0.07511950174885,por,1.0,0.4824
agut1237,port1283,0.1891891891891892,0.1064467064467064,por,1.0,0.4138
ango1254,port1283,0.2252252252252252,0.1529724529724529,por,1.0,0.4716
anka1246,port1283,0.1801801801801801,0.0855133892261098,por,1.0,0.4819
abau1245,port1283,0.2612612612612612,0.1835214676130319,por,1.0,0.4722
achu1248,port1283,0.2727272727272727,0.1972603519153354,por,1.0,0.3294
agua1253,port1283,0.2792792792792792,0.1966419166419166,por,1.0,0.3369
east2379,port1283,0.2636363636363636,0.2094848484848484,por,1.0,0.4906
agar1252,port1283,0.1531531531531531,0.1367136793939093,por,1.0,0.4805
sain1246,port1283,0.2252252252252252,0.1684515355401431,por,0.4269999861717224,0.2409
arif1239,czec1258,0.3333333333333333,0.273423842747151,ces,1.0,0.4582
agua1252,czec1258,0.1545454545454545,0.0907941645557744,ces,1.0,0.3598
amel1241,czec1258,0.1401869158878504,0.0670226969292389,ces,1.0,0.4464
achi1256,czec1258,0.1891891891891892,0.1259232550331187,ces,1.0,0.3586
abau1245,czec1258,0.1891891891891892,0.1169229800563522,ces,1.0,0.4377
inab1237,czec1258,0.2342342342342342,0.1730014589057142,ces,1.0,0.3721
amar1273,czec1258,0.2592592592592592,0.2119992441421012,ces,1.0,0.423
east2379,czec1258,0.2272727272727272,0.1817032036449512,ces,1.0,0.4632
anem1248,czec1258,0.238095238095238,0.1845408976987924,ces,1.0,0.4583
anga1290,czec1258,0.1441441441441441,0.0363197843512804,ces,1.0,0.4509
ango1254,czec1258,0.1531531531531531,0.0537564661435629,ces,1.0,0.437
sain1246,czec1258,0.1981981981981982,0.1345730757495463,ces,0.9247999787330627,0.2946
ambu1247,czec1258,0.1818181818181818,0.1144870500601726,ces,1.0,0.4398
cent2084,czec1258,0.1944444444444444,0.1618730814115025,ces,1.0,0.3537
anka1246,czec1258,0.1441441441441441,0.0363197843512804,ces,1.0,0.4502
achu1248,czec1258,0.2272727272727272,0.1719990508719278,ces,1.0,0.3762
agar1252,czec1258,0.2252252252252252,0.171764393386015,ces,1.0,0.4485
agua1253,czec1258,0.2612612612612612,0.1627712905603372,ces,1.0,0.3832
agut1237,czec1258,0.2612612612612612,0.2204559643584034,ces,1.0,0.3682
