task_lang,transfer_lang,accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
lao,pan,0.05,12,42,0.0019193857965451,7902,521,15.166986564299426,1.0,0.6632,0.605,0.2163,0.5167,0.1344,0.9037,3.148,0.5288,0.13276234738158577
lao,pol,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.5202,0.5593,0.2163,0.4918,0.3137,1.0,3.203,0.6185,0.11279802850347187
lao,por,0.05,12,42,0.0019193857965451,10000,521,19.19385796545105,1.0,0.5475,0.5371,0.2163,0.4493,0.3726,1.0,3.15,0.6185,0.09914826212488859
lao,ron,0.04,32,22,0.0019193857965451,10000,521,19.19385796545105,1.0,0.5766,0.507,0.3824,0.4772,0.3025,,3.135,0.6185,0.08299303407308767
lao,rus,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.6019,0.6317,0.4078,0.5567,0.1998,1.0,3.09,0.7434,0.11268597498697053
lao,sna,0.05,12,42,0.0134357005758157,592,521,1.1362763915547025,1.0,0.619,0.6002,0.4278,0.5124,0.334,1.0,3.13,0.6185,0.12121356651248327
lao,som,0.05,12,42,0.0115163147792706,1246,521,2.3915547024952017,1.0,0.6398,0.6266,0.4638,0.5582,0.2555,1.0,3.184,0.6185,0.11898996309725385
lao,spa,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.5933,0.5546,0.4601,0.5421,0.3679,,3.088,0.6185,0.10327791494024219
lao,swa,0.04,32,22,0.0057581573896353,10000,521,19.19385796545105,1.0,0.6419,0.5765,0.3498,0.4716,0.2977,0.8485,3.176,0.5132,0.10610873535481147
lao,swe,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.6148,0.582,0.3824,0.5184,0.313,1.0,3.172,0.6368,0.10807202417516615
lao,tam,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.7897,0.6577,0.2952,0.5124,0.1157,1.0,3.164,0.4326,0.12676921248752349
lao,tel,0.05,12,42,0.0,5991,521,11.499040307101726,1.0,0.7704,0.641,0.2163,0.5309,0.1122,1.0,3.08,0.439,0.13637748913802894
lao,tgk,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.5619,0.5619,,,0.1725,,3.168,0.5893,0.06678008646295708
lao,tgl,0.06,5,49,0.0076775431861804,10000,521,19.19385796545105,1.0,0.6555,0.5669,0.0,0.4297,0.076,0.8869,3.158,0.551,0.09361836715426808
lao,tha,0.28,1,53,0.0,10000,521,19.19385796545105,0.0909,0.3255,0.3601,0.0,0.3924,0.0193,0.7323,2.717,0.4034,0.038579316818057596
lao,tir,0.02,53,1,0.0019193857965451,81,521,0.1554702495201535,1.0,0.6931,0.543,0.4638,0.4997,0.2693,,3.191,0.5541,0.11570815894424291
lao,tuk,0.05,12,42,0.0019193857965451,1152,521,2.2111324376199617,1.0,0.6926,0.7364,0.0,,0.199,0.86,3.06,0.5893,0.10108181654082538
lao,tur,0.05,12,42,0.0019193857965451,10000,521,19.19385796545105,1.0,0.6998,0.6367,0.4601,0.5319,0.2805,0.805,3.066,0.6185,0.11804023459037072
lao,ukr,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.5823,0.5698,0.3217,0.466,0.3017,1.0,3.156,0.7434,0.09223265913223633
lao,uig,0.04,32,22,0.0,1167,521,2.2399232245681384,1.0,0.7896,0.7447,0.0,,0.1551,,3.1,0.5893,0.08855960827066456
lao,uzb,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.8058,0.6325,0.4638,0.5745,0.1756,,3.16,0.6035,0.11719676145049829
lao,vie,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.4759,0.4591,0.3498,0.4626,0.0143,0.0,3.176,0.6791,0.06444617883122106
lao,xho,0.04,32,22,0.0076775431861804,218,521,0.4184261036468329,1.0,0.6366,0.5533,0.3498,0.3824,0.3549,1.0,3.178,0.6185,0.08596179362833722
lao,yor,0.05,12,42,0.0115163147792706,7227,521,13.871401151631478,1.0,0.3259,0.3565,0.2301,0.3914,0.3902,,3.113,0.5893,0.04025419989961054
lao,zul,0.04,32,22,0.0,462,521,0.8867562380038387,1.0,0.5964,0.5547,0.4278,0.4837,0.3392,0.4601,3.223,0.6185,0.09845407907825499
mar,amh,0.24,6,48,0.0005,2028,10000,0.2028,1.0,0.5441,0.5033,0.2301,0.466,0.1621,0.5456,3.242,0.5319,0.11488396261227651
mar,ara,0.11,39,15,0.0,10000,10000,1.0,1.0,0.7036,0.6898,,,0.1423,0.6564,3.277,0.4878,0.12579326301930072
mar,aze,0.14,31,23,0.0001,10000,10000,1.0,1.0,0.5046,0.5425,0.4078,0.6002,0.1549,0.522,3.164,,0.11152873591222356
mar,ben,0.37,3,51,0.0002,10000,10000,1.0,0.625,0.3173,0.3718,0.369,0.3908,0.0631,,2.979,0.1722,0.07493060660353856
mar,cat,0.16,24,30,0.0,10000,10000,1.0,0.9091,0.6206,0.5645,0.3125,0.4488,0.2806,0.6747,3.107,0.6019,0.11096668465631321
