task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,phonological,inventory,featural,hyper_genetic,scriptural,islands
kama1367,stan1293,0.2432432432432432,0.2098562424649381,eng,1.0,0.7,0.79,0.5687,0.5893,0.7,3.134353,0.1864,0.23148623063785256
vwan1235,stan1293,0.1891891891891892,0.1333387809578285,eng,1.0,0.4,0.74,1.0,0.5983,0.9,3.2662077,0.1864,0.2103556049803349
bedj1245,stan1293,0.1441441441441441,0.0768316890681504,eng,1.0,0.3,0.57,0.5687,0.5983,0.6,3.1644616,0.1864,0.24906870872769182
akaw1239,stan1293,0.1621621621621621,0.0921836121836121,eng,1.0,0.4,0.57,0.4121,0.5403,0.6,3.175435,0.1864,0.20286470748613616
lamb1276,stan1293,0.1909090909090909,0.1206255271553779,eng,1.0,0.5,0.9,0.5687,0.5976,0.7,3.1227388,0.1864,0.2178711852995593
sanm1301,stan1293,0.2972972972972973,0.2651550554822248,eng,1.0,0.4,0.9,1.0,0.5983,0.9,3.2263312,0.1864,0.20844434746259366
algo1255,stan1293,0.1891891891891892,0.1281228036547185,eng,1.0,0.3,0.57,0.5687,0.5983,0.6,3.1431928,0.1864,0.24906870872769182
atam1240,stan1293,0.2792792792792792,0.2111349884484212,eng,1.0,0.6,0.57,0.5687,0.5983,0.6,3.2536497,0.1864,0.21304178302056498
idun1242,stan1293,0.209090909090909,0.1372201528731618,eng,1.0,0.7,0.75,0.5687,0.5983,0.8,3.0806718,0.1864,0.21259341529983788
kara1486,stan1293,0.2252252252252252,0.1648555701615179,eng,1.0,0.7,0.79,0.5687,0.5983,0.9,3.0951962,0.1864,0.20028493823661508
mend1268,stan1293,0.2792792792792792,0.222442638389165,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.21261,0.1864,0.22772522462297384
plat1254,stan1293,0.2072072072072072,0.1229567133978898,eng,1.0,0.5,0.68,0.2736,0.5093,0.6,3.0863197,,0.19065556301190767
