task_lang,transfer_lang,accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
spa,nld,65.33,7,23,0.239782101,19452,2147,9.060083837913368,0.133302703,0.1929523189999999,0.0955686165871949,0.9,0.4963,0.5262,0.4638,0.557,0.0563,,3.021,0.0,0.09163684293688323
spa,por,74.58,2,28,0.4665026229999999,19763,2147,9.204937121564974,0.095460698,0.1929523189999999,0.2552904553526889,0.2667,0.3053,0.4059,0.3824,0.4797,0.0129,,2.717,0.0,0.06693447849273826
spa,lat,45.37,23,7,0.083058638,17140,2147,7.983232417326502,0.158874645,0.1929523189999999,0.0311917601681306,0.1667,0.4495,0.4797,0.4717,0.4918,0.0472,,2.875,0.0,0.06751541890348611
spa,fra,74.37,3,27,0.359704103,16032,2147,7.467163483931067,0.118520741,0.1929523189999999,0.1488039459301655,0.4375,0.3871,0.4968,0.4745,0.5804,0.0362,,2.734,0.0,0.07377110261394793
spa,deu,61.27,13,17,0.156630608,14613,2147,6.806241266884024,0.187631727,0.1929523189999999,0.0007603611330925,0.8571,0.4492,0.5535,0.5049,0.6393,0.0579,,3.135,0.0,0.07417765985269309
spa,hin,31.24,28,2,0.070724422,14963,2147,6.969259431765254,0.060393443,0.1929523189999999,0.4719735064700861,0.875,0.5192,0.5569,0.4745,0.5922,0.279,,3.072,0.4287,0.11745522954909837
spa,cat,82.77,1,29,0.50062677,14832,2147,6.9082440614811365,0.074013319,0.1929523189999999,0.3799693452718723,0.0909,0.402,0.4233,0.3433,0.4565,0.017,,2.686,0.0,0.07519717944343773
spa,ita,73.88,4,26,0.287277342,13685,2147,6.374010246856078,0.102554534,0.1929523189999999,0.2194904219093977,0.3,0.3508,0.4259,0.3217,0.5037,0.0485,,2.805,0.0,0.07277567183660605
spa,eng,66.83,5,25,0.170682638,14545,2147,6.774569166278528,0.0961556319999999,0.1929523189999999,0.251663934146114,0.9,0.3887,0.4605,0.2677,0.5481,0.0575,,2.94,0.1864,0.1600928424951812
spa,fin,35.25,27,3,0.139158426,13581,2147,6.3255705635770845,0.302519355,0.1929523189999999,0.3224480995143557,1.0,0.4413,0.4987,0.4477,0.5617,0.1295,,3.127,0.0,0.06408193715857158
spa,bul,63.79,11,19,0.12479688,10022,2147,4.667908709827667,0.201446082,0.1929523189999999,0.0019377612749689,0.8571,0.2923,0.4657,0.3613,0.5933,0.0891,,2.992,0.0,0.06753978783790038
spa,slv,60.46,15,15,0.143940449,9290,2147,4.326967862133209,0.237767323,0.1929523189999999,0.0539444629786315,0.8333,0.4047,0.4604,0.4078,0.5118,0.059,,3.006,0.0,0.07785067390265277
spa,slk,54.7,20,10,0.123404058,9543,2147,4.444806707033069,0.261917468,0.1929523189999999,0.1277495422524947,0.8333,,,,,0.0742,,3.184,0.0,0.1281482879112299
spa,ron,65.47,6,24,0.294767631,8795,2147,4.096413600372613,0.167303215,0.1929523189999999,0.0176703190873504,0.3333,0.3411,0.4333,0.3613,0.5114,0.0875,,2.81,0.0,0.05316088591362744
spa,hrv,60.74,14,16,0.170233839,7832,2147,3.647880763856544,0.216688845,0.1929523189999999,0.0151333232819818,0.875,0.4663,0.4391,0.3613,0.4327,0.0638,,3.23,0.0,0.05625689201146822
spa,ara,46.23,22,8,0.0701672929999999,6984,2147,3.2529110386585933,0.1033986809999999,0.1929523189999999,0.2154102979133033,1.0,0.5145,0.5145,,,0.1725,,3.158,0.5335,0.06485554929966653
spa,lav,52.97,21,9,0.135769225,6475,2147,3.015836050302748,0.268650981,0.1929523189999999,0.1539133891909916,0.75,0.502,0.4831,0.4097,,0.1053,,3.016,0.0,0.06129894686356163
spa,heb,56.16,19,11,0.121113639,5725,2147,2.6665114112715416,0.117344567,0.1929523189999999,0.1535439278593294,1.0,0.3881,0.5247,0.5702,0.6441,0.1372,,3.156,0.5829,0.05507560265147049
spa,ukr,61.35,12,18,0.11170435,5090,2147,2.3707498835584535,0.31926283,0.1929523189999999,0.4285277782267523,0.8333,0.3926,0.4544,0.3217,0.5275,0.0896,,3.047,0.3498,0.043768042387253514
spa,ind,56.53,18,12,0.138384636,5036,2147,2.3455985095482066,0.197096308,0.1929523189999999,0.0004612508535431,1.0,0.5469,0.4933,0.3862,0.4627,0.4247,,3.176,0.3776,0.07676151859169511
spa,dan,64.12,9,21,0.161505486,4947,2147,2.304145319049837,0.203165045,0.1929523189999999,0.0028014530954082,0.8571,0.4484,0.4484,,,0.073,,3.049,0.1864,0.07986009996254462
spa,swe,60.41,16,14,0.116176857,4807,2147,2.2389380530973453,0.193727962,0.1929523189999999,1.6159344876055972e-05,0.8571,0.4096,0.5366,0.5,0.6215,0.1022,,3.08,0.1864,0.09695521003745933
