Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
kor,fra,12.06,26,4,0.121019904,16032,3276,4.893772893772894,0.118520741,0.465899158,0.5559321781923584,1.0,0.7023,0.617,0.5253,0.4804,0.4552,0.3889,0.3381
kor,deu,17.39,3,27,0.120870065,14613,3276,4.460622710622711,0.187631727,0.465899158,0.3567310449798401,1.0,0.5935,0.5792,0.554,0.5227,0.4258,0.4456,0.3199
kor,hin,22.94,1,29,0.062133207,14963,3276,4.567460317460317,0.060393443,0.465899158,0.7575479155122635,1.0,0.5528,0.5681,0.5879,0.558,0.2488,0.4531,0.1976
kor,cat,12.69,23,7,0.1216442319999999,14832,3276,4.527472527472527,0.074013319,0.465899158,0.7075144098004392,1.0,0.612,0.5941,0.5096,0.5198,0.4773,0.441,0.3515
kor,ita,12.19,24,6,0.119596434,13685,3276,4.177350427350428,0.102554534,0.465899158,0.6082100981557959,1.0,0.6137,0.6189,0.5609,0.5861,0.4465,0.4628,0.3328
kor,eng,16.31,5,25,0.1219189369999999,14545,3276,4.43986568986569,0.0961556319999999,0.465899158,0.6298212446473307,1.0,0.7054,0.6561,0.5335,0.4866,0.4405,0.4285,0.3292
kor,fin,17.88,2,28,0.1170491719999999,13581,3276,4.145604395604396,0.302519355,0.465899158,0.1229738825851344,1.0,0.6196,0.5291,0.5096,0.3638,0.3414,0.3862,0.2641
kor,bul,14.06,18,12,0.116025273,10022,3276,3.059218559218559,0.201446082,0.465899158,0.3221909925003948,1.0,0.6237,0.6118,0.6123,0.5671,0.4068,0.4232,0.3077
kor,slv,15.27,12,18,0.1129286019999999,9290,3276,2.835775335775336,0.237767323,0.465899158,0.2397661868239756,1.0,0.6184,0.6128,0.6123,0.55,0.4283,0.4128,0.3214
kor,slk,14.9,14,16,0.1026396619999999,9543,3276,2.913003663003663,0.261917468,0.465899158,0.1916895863003541,1.0,0.7323,0.7119,0.5859,0.6792,0.4085,0.4717,0.3089
