,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
201,mar,tha,0.11,39,15,0.0003,10000,10000,1.0,1.0,0.4852,0.497,0.744,0.3576,0.12162198480050457
202,mar,tir,0.02,52,2,0.0,81,10000,0.0081,1.0,0.5521,0.5815,0.2677,0.508,0.22400717030911188
203,mar,tuk,0.19,19,35,0.0001,1152,10000,0.1152,1.0,0.3758,0.5936,0.8123,1.3062,0.12806764917236385
204,mar,tur,0.22,10,44,0.0,10000,10000,1.0,1.0,0.3316,0.37,0.6827,0.5353,0.23345526526395965
205,mar,ukr,0.23,8,46,0.0,10000,10000,1.0,0.8831,0.3492,0.3729,0.14,0.4954,0.25695915603570696
206,mar,uig,0.12,37,17,0.0,1167,10000,0.1167,1.0,0.5292,0.7223,1.0,1.3062,0.13897322815361374
207,mar,uzb,0.13,34,20,0.0,10000,10000,1.0,1.0,0.5069,0.5564,0.366,0.518,0.12928084814480192
208,mar,vie,0.14,31,23,0.0001,10000,10000,1.0,1.0,0.4534,0.4829,0.7952,0.5133,0.15554172081628695
209,mar,xho,0.03,49,5,0.0,218,10000,0.0218,1.0,0.4189,0.4353,0.2677,0.507,0.4097743275327415
210,mar,yor,0.18,20,34,0.0005,7227,10000,0.7227,1.0,0.5333,0.5798,0.7141,0.4163,0.38603562534262537
211,mar,zul,0.12,37,17,0.0,462,10000,0.0462,1.0,0.4971,0.5478,0.7724,0.5451,0.4094827949167912
212,pan,amh,0.26,5,49,0.0,2028,7902,0.2566438876233864,1.0,0.457,0.5027,0.7928,0.4994,0.23321677563254165
213,pan,ara,0.05,44,10,0.0,10000,7902,1.2655024044545684,1.0,0.4232,0.648,0.9005,1.3631,0.18830695126002334
214,pan,aze,0.16,14,40,0.0,10000,7902,1.2655024044545684,1.0,0.4377,0.4253,0.2388,0.5341,0.18431036926699323
215,pan,ben,0.29,4,50,0.0,10000,7902,1.2655024044545684,0.6936,0.5428,0.5858,0.5745,0.323,0.046642547411608164
